target,user
1027734,2931152
1027765,4292943
1032439,3528795
1033307,4065208
1034094,3528795
1034098,3514793
1032258,3715582
1032376,1243482
1032378,1900244
1033248,3514793
1034905,0
1035558,4836640
1018092,5732451
1018884,5017473
1018896,5732451
1018993,5017473
1019024,5732451
1019112,5017473
1019423,5017473
1019503,4670864
1019658,5017473
1019960,4670864
1020189,5732451
1020530,5017473
1020531,5017473
1020561,4670864
1020806,5017473
1022050,4670864
1023313,5017473
1033257,3514793
1016462,5663025
1016724,4010658
1016776,4440682
1018359,5663025
1018606,4832781
1018782,5732451
1019091,4440682
1019121,4832781
1019126,4440682
1019149,4832781
1019196,4440682
1019879,5663025
1020312,4440682
1020355,4832781
1024215,2416450
1015531,4670864
1016180,3944866
1016275,2000147
1016594,4440682
1018036,4670864
1018090,5732451
1018608,4832781
1019216,5629559
1019230,4440682
1019250,5629559
1020870,3944866
1024216,2416450
1033258,3514793
1015095,2789265
1016186,3944866
1016214,2789265
1016598,2590110
1016723,2000147
1018610,4832781
1019044,2590110
1019345,2789265
1019349,2590110
1019352,4010658
1019355,2590110
1019364,4010658
1019368,2789265
1019376,4010658
1019388,2000147
1020074,5767925
1020855,3944866
1021298,0
1033259,3514793
1013291,5629559
1016173,3944866
1016716,5629559
1020891,3944866
1013088,4440682
1016167,3944866
1016204,4010658
1016592,4440682
1020850,3944866
1020876,4440682
1020915,3944866
1024220,2416450
1033260,3514793
1009979,4670864
1010058,4010658
1033262,3514793
1007407,5762056
1031670,3177784
1032261,3715582
1032373,1900244
1032390,3514793
1033093,4065208
1033250,3514793
1034262,3514793
1027105,4292943
1027543,3517106
1033255,3514793
1028791,4019883
1028793,2006644
1029190,2623988
1029537,2121254
1029563,2246708
1030099,1243482
1030208,4019883
1030221,2380476
1031724,0
1033254,3514793
1034264,3514793
1022618,2027611
1022833,1377638
1023408,0
1023828,2027611
1023981,4670864
1024850,367231
1025376,3715582
1025913,0
1026009,2006644
1026093,2027611
1029189,2623988
1033256,3514793
1034908,0
1007509,2590110
1007529,4010658
1007691,2590110
1008047,4010658
1008152,5607244
1008162,4010658
1008202,2590110
1008204,2590110
1008255,5607244
1008474,2887189
1008510,2590110
1008729,3608685
1009067,5607244
1009197,2590110
1009575,2887189
1009582,2590110
1012278,4617662
1015426,2000147
1011558,1539012
1011566,4010658
1011583,2590110
1011625,4010658
1011646,2590110
1011753,3608685
1015425,2000147
1018095,5732451
1009050,4617662
1033263,3514793
1165989,4536986
1035756,3993452
1036506,4010658
1033236,4010658
1034252,756494
1035553,4010658
1033230,5843074
1030686,756494
1029790,2623988
1026034,5512854
1025939,5512854
1025937,5512854
1024134,2000147
1024166,4010658
1024554,2830398
1027114,4292943
1020862,3944866
1020320,5762056
1020298,5813606
1019464,5410842
1018882,5017473
1015521,4670864
1015499,4670864
1011916,3549773
1010415,3169757
1008230,3608685
1007618,5607244
1006563,3421460
1006270,2154693
1035521,0
1035536,4010658
1035542,0
1029204,0
1020086,0
1020068,0
1012803,0
1109777,5022879
1109482,696000
1051851,5022879
1056682,3355848
1057126,521899
1056056,4910848
1062638,1929265
1060175,3652230
1060196,317344
1060207,3652230
1060235,3355848
1060236,3652230
1060237,3355848
1060238,3652230
1060239,317344
1060244,3652230
1060245,3355848
1060262,317344
1060266,317344
1061267,3355848
1061369,3652230
1061431,3355848
1061437,3355848
1061525,3355848
1062566,3355848
1057907,317344
1064463,317344
1056980,443651
1057565,3355848
1084112,5793291
1078636,834077
1041372,1155353
1042145,172860
1041677,59561
1041679,3652230
1041682,37166
1041683,0
1041686,3177784
1041687,2675447
1041692,2745910
1041699,834077
1041706,3652230
1041708,0
1041732,220927
1041735,0
1041736,3652230
1041738,761268
1041740,3652230
1041749,3652230
1041755,4287302
1042143,172860
1049295,5544712
1041461,2191934
1041505,2675447
1041530,37166
1041200,18102
1041561,4463217
1041662,75976
1041667,761268
1041676,2745910
1041689,761268
1041131,59561
1041137,471945
1041151,2062359
1041154,59561
1041177,456596
1041181,0
1041385,4287302
1041428,2745910
1041241,3177784
1041246,1330628
1041292,306452
1041319,974295
1041336,3177784
1041444,530572
1041469,974295
1041626,18463
1041537,5007869
1041426,2029256
