source,target,date,user
182006,1027734,2020-09-26T10:16:03.143Z,2931152
1027734,1027765,2020-09-26T10:48:13.113Z,4292943
182006,1032439,2020-09-30T07:49:24.127Z,3528795
1032439,1033307,2020-09-30T20:23:06.013Z,4065208
1032439,1034094,2020-10-01T13:50:08.243Z,3528795
1032439,1034098,2020-10-01T13:55:18.86Z,3514793
182006,1032258,2020-09-30T04:49:50.337Z,3715582
1032258,1032376,2020-09-30T06:54:35.32Z,1243482
1032258,1032378,2020-09-30T07:01:58.84Z,1900244
1032258,1033248,2020-09-30T19:15:38.697Z,3514793
1032258,1034905,2020-10-02T09:31:21.347Z,0
1032258,1035558,2020-10-02T19:48:30.617Z,4836640
182006,1018092,2020-09-19T12:51:27.807Z,5732451
1018092,1018884,2020-09-20T04:23:45.663Z,5017473
1018092,1018896,2020-09-20T04:45:27.363Z,5732451
1018092,1018993,2020-09-20T06:06:41.23Z,5017473
1018092,1019024,2020-09-20T06:30:54.007Z,5732451
1018092,1019112,2020-09-20T07:49:20.32Z,5017473
1018092,1019423,2020-09-20T12:17:23.577Z,5017473
1018092,1019503,2020-09-20T13:41:56.98Z,4670864
1018092,1019658,2020-09-20T15:21:30.603Z,5017473
1018092,1019960,2020-09-20T19:07:45.123Z,4670864
1018092,1020189,2020-09-21T02:37:13.493Z,5732451
1018092,1020530,2020-09-21T08:21:22.553Z,5017473
1018092,1020531,2020-09-21T08:21:47.513Z,5017473
1018092,1020561,2020-09-21T09:05:32.353Z,4670864
1018092,1020806,2020-09-21T12:50:40.853Z,5017473
1018092,1022050,2020-09-22T09:26:39.633Z,4670864
1018092,1023313,2020-09-23T05:42:56.27Z,5017473
1018092,1033257,2020-09-30T19:17:34.487Z,3514793
182006,1016462,2020-09-19T02:00:22.683Z,5663025
1016462,1016724,2020-09-19T07:45:05.347Z,4010658
1016462,1016776,2020-09-19T08:22:10.52Z,4440682
1016462,1018359,2020-09-19T16:25:49.833Z,5663025
1016462,1018606,2020-09-19T19:13:31.13Z,4832781
1016462,1018782,2020-09-20T01:07:58.577Z,5732451
1016462,1019091,2020-09-20T07:29:28.77Z,4440682
1016462,1019121,2020-09-20T07:54:32.15Z,4832781
1016462,1019126,2020-09-20T08:00:29.393Z,4440682
1016462,1019149,2020-09-20T08:17:06.26Z,4832781
1016462,1019196,2020-09-20T09:09:32.383Z,4440682
1016462,1019879,2020-09-20T18:13:00.253Z,5663025
1016462,1020312,2020-09-21T04:57:02.953Z,4440682
1016462,1020355,2020-09-21T05:49:44.803Z,4832781
1016462,1024215,2020-09-23T17:51:53.853Z,2416450
182006,1015531,2020-09-18T08:43:39.403Z,4670864
1015531,1016180,2020-09-18T18:12:03.153Z,3944866
1015531,1016275,2020-09-18T19:24:28.977Z,2000147
1015531,1016594,2020-09-19T05:33:39.16Z,4440682
1015531,1018036,2020-09-19T12:05:33.937Z,4670864
1015531,1018090,2020-09-19T12:49:29.633Z,5732451
1015531,1018608,2020-09-19T19:13:53.067Z,4832781
