Source,Target,Label
995397,2931152,2020-09-26T10:16:03.143Z
2931152,4292943,2020-09-26T10:48:13.113Z
995397,3528795,2020-09-30T07:49:24.127Z
3528795,4065208,2020-09-30T20:23:06.013Z
3528795,3528795,2020-10-01T13:50:08.243Z
3528795,3514793,2020-10-01T13:55:18.86Z
995397,3715582,2020-09-30T04:49:50.337Z
3715582,1243482,2020-09-30T06:54:35.32Z
3715582,1900244,2020-09-30T07:01:58.84Z
3715582,3514793,2020-09-30T19:15:38.697Z
3715582,0,2020-10-02T09:31:21.347Z
3715582,4836640,2020-10-02T19:48:30.617Z
995397,5732451,2020-09-19T12:51:27.807Z
5732451,5017473,2020-09-20T04:23:45.663Z
5732451,5732451,2020-09-20T04:45:27.363Z
5732451,5017473,2020-09-20T06:06:41.23Z
5732451,5732451,2020-09-20T06:30:54.007Z
5732451,5017473,2020-09-20T07:49:20.32Z
5732451,5017473,2020-09-20T12:17:23.577Z
5732451,4670864,2020-09-20T13:41:56.98Z
5732451,5017473,2020-09-20T15:21:30.603Z
5732451,4670864,2020-09-20T19:07:45.123Z
5732451,5732451,2020-09-21T02:37:13.493Z
5732451,5017473,2020-09-21T08:21:22.553Z
5732451,5017473,2020-09-21T08:21:47.513Z
5732451,4670864,2020-09-21T09:05:32.353Z
5732451,5017473,2020-09-21T12:50:40.853Z
5732451,4670864,2020-09-22T09:26:39.633Z
5732451,5017473,2020-09-23T05:42:56.27Z
5732451,3514793,2020-09-30T19:17:34.487Z
995397,5663025,2020-09-19T02:00:22.683Z
5663025,4010658,2020-09-19T07:45:05.347Z
5663025,4440682,2020-09-19T08:22:10.52Z
5663025,5663025,2020-09-19T16:25:49.833Z
5663025,4832781,2020-09-19T19:13:31.13Z
5663025,5732451,2020-09-20T01:07:58.577Z
5663025,4440682,2020-09-20T07:29:28.77Z
5663025,4832781,2020-09-20T07:54:32.15Z
5663025,4440682,2020-09-20T08:00:29.393Z
5663025,4832781,2020-09-20T08:17:06.26Z
5663025,4440682,2020-09-20T09:09:32.383Z
5663025,5663025,2020-09-20T18:13:00.253Z
5663025,4440682,2020-09-21T04:57:02.953Z
5663025,4832781,2020-09-21T05:49:44.803Z
5663025,2416450,2020-09-23T17:51:53.853Z
995397,4670864,2020-09-18T08:43:39.403Z
4670864,3944866,2020-09-18T18:12:03.153Z
4670864,2000147,2020-09-18T19:24:28.977Z
4670864,4440682,2020-09-19T05:33:39.16Z
4670864,4670864,2020-09-19T12:05:33.937Z
4670864,5732451,2020-09-19T12:49:29.633Z
4670864,4832781,2020-09-19T19:13:53.067Z
4670864,5629559,2020-09-20T09:27:38.607Z
4670864,4440682,2020-09-20T09:41:19.913Z
4670864,5629559,2020-09-20T10:11:00.66Z
4670864,3944866,2020-09-21T13:32:32.573Z
4670864,2416450,2020-09-23T17:52:37.993Z
4670864,3514793,2020-09-30T19:17:51.833Z
995397,2789265,2020-09-17T23:48:07.897Z
2789265,3944866,2020-09-18T18:16:22.757Z
2789265,2789265,2020-09-18T18:33:29.157Z
2789265,2590110,2020-09-19T05:39:55.97Z
2789265,2000147,2020-09-19T07:44:28.527Z
